name,content
靜芳,18天全世界最好喝。丹尼爾全台灣新聞界最強大。
Silva,不要對單泥而亂許願，因為他會幫你實現！（謝謝單泥而教我很多 ❤️）
永惟,看過丹尼爾當面對著貿然衝出的六人座小客車比中指，真是只有氣場強大的人才會這麼幹的啊（大笑
光瑩,單泥爾最強！！！
小俠,不要叫尼爾穿外套，他會中暑
子軒,丹尼爾在新聞所圈粉無數，學生跟老師都愛你
羽嘉,連花瓣都乖乖吃了　外表不羈內心溫柔的反差萌
何綺,想念我們的話可以遠端駭進我的電腦（？
Mimi,以後中國打過來可以攜家帶眷去美國投靠你嗎🥺
曹,見到您就GucciFun！！！！👶❤️💩💩
思,求開發美國B sites
欣,你要不要把蔥、臉書邪惡笑臉帶回美國啊？在家覺得無聊的時候，來幫忙做個圖表嘛～～～～
Iris,你要不要中間回來當一下攻擊型大砲 🥺
秋,超級優秀的獅子座代表！
野口,單泥而幫設計實現願望的速度比恩主公快
勳,如果我是全世界第二喜歡你的男子，沒有人敢說他是第一
Steven,我會替尼爾好好照顧 bullldog 的 🐶🐶🐶
歆諺,開心認識Ko Tik-lí
思穎,最強大神丹尼爾，希望你回美國以後可以多穿幾件外套了
家玉,節奏男孩掰掰👋👋
佳俐,你是唯一的神話！
Tim,"React, Vue, Angular: Who's your daddy?
Svelte: ???"
Tim,從進來之前就是小粉絲，雖在不同部門但很勇敢地找你聊天，交流很多程式與想法，神還是一樣是神🌟🌟🌟
欣,謝謝你表姊和阿姨租房子給我XDDDDDD
奕文,希望我們可以各自進行阿拉斯加之旅！Into the Wild 🙂